clean_text,sentiment
öğretmenler kpss puanıyla ek bin öğretmen ataması bekliyor,Neutral
rabbim yar ve yardımcımız olsun,Positive
izmiri yönetdiğiniz gibi istanbul ankarada verdiğiniz sözler gibi türkiyeyi de kanatlandırıp uçurursunuz siz,Negative
yazık ya zaten başlayan süreci kendi lehinize çevirmek için alicengiz oyunu olmasın aklınız neredeydi şimdiye kadar milletin aklıyla dalga geçmeyin artık gerçi baş örtüsü sorunu nu da chp çözmüştü ayasofya yı da siz açmış olursunuz sıkıntı tinne,Negative
herkes yetersiz kontenjan yüzünden mağdur oldu il emri istiyoruz,Negative
başvuru yaptım ama başvurunuz bulunmamaktadır yazıyor,Negative
kamudavasindan onbinlerce suçsuz mahkum cezaevinde ömür çürütuyor vicdan mahkumlarasartlitahliye,Negative
sayın cumhurbaşkanım islam ordusunu sağınızamelekler ordusunu solunuza tüm inananları arkanıza alıp dünyayı baştansona fethedin,Positive
madem öyle türk milletinin içinde eyt yok mu emekli yapsanız maaşları şöyle düzenleseniz evine ekmek götürse çocuğunun eline bakmasa iyi olmaz mı hayir dua alsanız yani bu günlük dünya da insana bu eziyet niye lütfen bu konunun ciddiyetini anlayınışekkür ederiz,Negative
bu bilgehan denen şahısla ilgili birşeyler yapacak mısınız yoksa takipçilerinden birilerinin ölmesini mi bekleyeceksiniz,Negative
özel okullar ozellikle anaokullari batacak yazin bir koseye,Negative
hı hı aynen araba kapının önünde depoda full dolu hazırlanıyoruz ailecek tatile çıkcaz,Negative
yeşil nazi akape ve mafya yoldaşı mehapenin sonu gelmek uzere son konusmalar hepsini kopek gibi delige giricekler,Negative
türk gençliği kararını vermiş,Neutral
işsizlik ten intahar edecem sen çıkmış büyüklükten bahsediyorsun yerebatsın sizin ekonominiz de de inizde,Negative
emeklilikte adalet istiyoruz,Neutral
izmir milletvekili i ankaraya ugurladik,Neutral
bi git yaaa bi git de git bürüksel almanya hollanda oralardan akıl al başka pilan versinler eline her oralara gidip gelişinde bişeyler olur gene git akıl al,Negative
söylesene fetönün porno kasedi marifeti ile genel müdürlük koltuğuna oturtulan çarkçibaşi kasetçi maalesef türkiye azerbaycana yardım monşer hangi partinin mvi idi ittifak ortaği kemal kılıçdaroğlu,Negative
adamlar nelerle uğraşıyor,Neutral
zafer bey haricinde diğer soru soran gazeteciler ve soru sorma şekilleri tam bir sıfır ezil büzül miy miy miy,Negative
bu genel baskanmi hakikatenguldurdunuz beninya,Negative
sizin sayın müdür vedat gürgen elazığ a gelip bakan beyin yanında atıp tuttu bakan bey elazığ dan ayrıldı yine aynı sorun devam ediyor elektrik ve su abonesi tek diye vermediğiniz evleri bakan beyin yanında tamam dedi sonra ya allah a havele ettik daha,Negative
akpli gözünden akpnin başarı listesi insanlara bu çağda daha fazlasını hakettiklerini göstermeliyiz,Positive
maaşallahmaaşallah günde leş allah ziyade etsin,Positive
yurt sonuçları açıklansın,Neutral
hirsizsiniz urfayi yildir yonetiyorsun sen ve senin haramzadelerin sonuç felaket düş milletin yakasindan defolup git artik bilalinle hangi cehenneme gidersen git,Negative
trilyon yalova hesabini ver besiktastakinin hesabını ver ataşehir yolsuzluklarin hesabini ver ssk hesabini vermedin allaha veteceksin hakkim haram olsun,Negative
başkan allah rizasi için özellikle istanbul ve ülkemizin riskli illerinde depreme dayanikli sağlam kentsel dönüşümü başlatin tedbir alalim tüm güçümüzü buna harcayalim zaman geçiyor deprem olacak vaktini allah bilir lakin biz ne yapiyoruz tedbir önlem aliyormuyuz,Negative
ne oldu verdiğiniz,Negative
lgs nitelikli okullarda da güncelleme yapılacak mı,Neutral
sanki ülkeyi kurtarıyorsunuz batırdınız ülkeyi akp ile birlikte,Negative
biz de bu ülkenin rte ye gönül vermiş canla başla çalışan gençleriyiz bizleri de unutmayın seçim öncesi sayın cumhurbaşkanımızdan bir müjde bekliyoruz,Positive
yaziklar olsun size yaziklar siz halki itip kalkmayi birakin mültecileri çikartin bu ülkeden siz bu ülkenin askeri polisisiniz birilerinin değil itip kaktiklariniz analariniz bacilariniz utanin bu ülkenin taşini toprağini yedirenlere alet olmayin yaziklar olsun size,Negative
hayallerimizi geri ver,Negative
bu insanlık duyguları alınmış adamı ait olduğu yere gönderin,Negative
henüz tıpbın gelişmediği yıllarda çocuk sahibi olmak isteyen insanlar türbelere ağaçlara çabut bağlar dilek tutar yakarır işte ortadaki hal aynen böyle kısır ettiler chp yi ve ülkeyi neyin kutlaması chp küllerinden yeniden doğsun atatürk yüzyılı olsun yokmu bi vatan evladı,Negative
yüz yüze egitim gibi olmuyor uzaktan egitim maleseff,Negative
tarihe yazılan bu kara lekeleri jnutturmayıp dünyaya duyurmanin tazminat ve toprak taleplerinde bulunmanın çoktan ve daima zamanı,Negative
vatanım için devletim için ölüp gideyim görev basında ama devletim bana neden üvey evlat muamelesi yapıyor ya hiç mi yetkili yok beni duyacak ya koskoca bakanlık herkesi duyuyor görüyor bizi neden görmüyor biz hizmet etmiyor muyuz bu adaletsizliğin bi cevabı var mı,Negative
esnafın ne işi var cezaevinde esnafa bu yapılan bir darbedir iflas eden kişi de para olsa zaten neden hapse girsin hiç mantık varmı ufacık çocuğa bile sorsanız borç nasıl ödenir diye çalişarak der ama siz hapae atıyorsunuz scezasikalksin,Negative
reis biz senin tek başına o koca işi yaptığını düşünüyorduk başkasının emeği mi varmış içinde,Negative
filistine gitmeme yardım etmezsen allaha yemin ederim kıyamet günü size allaha şikayette bulunacağım lütfen lütfen lütfen,Negative
vatan haini olsa bunu yapmaz rezilsiniz,Negative
allah bizi kurtarıcıdan korusun,Positive
ve ittifakının ankara büyükşehir belediye başkan adayi olacak mansur yavaş seçime chp rozeti ile girecek bu konuda iki parti lideri anlaştı,Neutral
pkkyiypgyi fetoyu hep destekledin ve destek msjlari attı fetocu kilictaroglu,Negative
neden bu toplumda adilliği ve liyakatı kaybettik oysa seni adil bildik yoksa degilmiydiniz bugun sagınıza solunuza bakın heryer akraba yuvası olmuş jerkes adamını getırıyor neden adillik bumu,Negative
halk sizi protesto etti halkın sesine kulak vermeyensiniz,Negative
müttefiklerine sosyal sallamazlar yaparak şirinleri oynayabilirsin lakin beni kandıramazsın kimilim,Negative
başta yapsayınız neden bu saçma işlere girdiniz ki tarih sizi koltuk sevdası ile hatırlayacak çok yazık emeklere,Negative
sözleşmeli öğretmenlik uygulaması ile birlikte bu imkansız,Negative
asdep projesi kapsamında personel alınacaktı neden hala ses seda yok aylar öncesinden söylenmişti,Negative
gerçekten bu sistem akp gibi köklü bir partiye sadece zarar verir cumhurbaşkanım öğretmenler süründürülüyor lütfen siz sesimizi duyun,Negative
chp kapatılırsa pkka biter,Neutral
üç hafta önce türkiyede kaçırılan gazeteci ahmed alastalın hakkındaki gelişmeleri öğrenmeleri için türk yetkilileri çağırıyoruz ka,Negative
sayin bakanim alan degisikliginin kaldirilmasini istiyoruz sizlerde biliyorsunuzki herkes universitede tercihini kendisi yapmistir ve bile isteye o bolumleri secmistir bu alan degisikligi yuzunden onbinlerce ogretmen ve aileleri mağdur olmaktadir,Negative
konya da mamakta ve pek çok belediye barinaginda olanlarla ilgili bir kelime bile etmediniz mazlumun yanında olmadınız sizde iktidara gelince siz de aynısını yapacaksınız belli yazik,Negative
ne mutlu vatandaşını mağdur etmeyen devlet adamlarına,Positive
dayı hala konuşuyonmu utanmadan erdoğanın akpnin organik ortağısın artık gayet net anladık ilk defa birine oy verdiğim için elim kırılsın diyorum defol git artık eskşden dürüat diyoduk nasıl kandırmışsın bizi sen olduğun sürece chp ye oy vermeyeceğim defol git arsız,Negative
umurunuzdami bir kez okuyun ya kez bir türlü gündeme getiremediginiz ı paketi ve insanların psikolojisi vebali,Negative
bozacılar ve şıracılar birbirini ağırlar liralık maskeyi ibşb nin tl ye satan bir zihniyetin partisi nin genel başkani chpkk demek yağma talan adam kayirma hemşericilik ama en önemlisi vatanin ve milletin bölünmez bütünlüğünü tehlikeye atan bir partidir,Negative
birde demeden edemiyeceğim bu sözleri daha iki gün önce bir serseri kurşuna sarılmış provokasyon yapmaya çalışan insan mı sarf ediyor,Negative
teröristler öldürülüyor diye devleti suçlayan adamın pesinden giden zombiler sizi görse yüzünüze tükürürdü,Negative
yalan iftiranın karalamanın çamur atmanın zirveye ulaştığı yaşamın sonlacağı hesap verileceği zaman yalan söylemenin ne kadar günah oldığunu eryada geç göreceksiniz,Negative
bu sozlerinle dağılan akp bin değirmenine şu tasiyorsun,Negative
toprak bütünlüğü başindan beri amacimizdir diye bilgi verilsin haberdar edilsin amaç terörist hedefler çünkü teröristler türkiyenin başina beladir derttir inşallah tüm terörist hedefleri yok edeceğiz hep beraber teröristlerin başini ezeceğiz teröristlerden,Positive
bayram için hazırladığınız reklamda bu fotoğrafı neden kullanmadınız,Neutral
sayın vural kaf karıştırmadan safınız belli olsun camia bunu bekliyor,Negative
hangi yüzle kutluyorsun götünü yalayan yavşakları gazeteci mi sanıyorsun,Negative
muharem beyi destekleyeceğim çünkü onun dostlari türk milleti,Positive
mahkumyakınları grevde fetöcü hainlerin verdiği kararlar yok hükmünde tck nun her maddesinde mağdur var tck dahil adli mahkuma yil ceza indirimi istiyoruz,Negative
konumun belirtilen sokak ve çevresi sürekli kalabalık ve sokağa çıkma ihlali var hırsızlıklar çoğaldı bekçi gördüğümüz yok bekçiler caddelerde şov amaçlı takılıyorlar görevinin yapan yok,Negative
hayret kimseyi daha suçlsmadın,Negative
reis oy yerine bok var bu sefer kabul edersen kalbimizdesin reis,Negative
yeter artıç bir işe yaradığın baykaldan beter hale getirmeden istifa et,Negative
allah hükumetimizden ve özellikle de bakanımızdan razı olsun hayırlı hizmetlerde muvaffak etsin,Positive
hukukçuları hakkında gereğini yapacaktır,Positive
hürjetin heykelini bile yapamaz,Negative
yalan vaatlerinlemi akp yi bile kandırdınya sana helal olsun ama sn erdoğana o attığın ip senin boğazına takılsın stajyer ve çırakların sana verdiği oylar haram olsun kusasınız hergün hiç bir belediye kazanamazsınız yok olursunuz inşallah,Negative
sayin baskomutanimm ayfon fiyatlari cok pahalı,Negative
helal olsun kurtardınız bizi chp zulmünden,Positive
sarj dayanmiyo sarj inat etme giriyoruz işte,Negative
istanbul milletvekilimiz ilçe koordinatörümüz sırakaya yönetim kurulu üyelerimizle kısa süre önce dünya evine giren ilçe başkan koçakın kıymetli evlatları ilkanamp ayşe çiftimize hayırlı olsun ziyaretinde bulunarak iki cihanda mutluluklar diledik,Positive
başkan geleceyin ayle bakanlina bir isim yakisirki milyon takipçisi var adam koca yürek yardım etmediyi kimse kalmadı hatayda özdemir senide soylu baskanida mekanında agirlamisdi ülkemin insana ihtiyacı var,Positive
nitelikli personel ihtiyacını tek başımıza sağlayabileceğimiz kurumlardan yoğun istihdam bekliyoruz mezunu meslek elemanlarını mesleğe kavuşturun,Neutral
herkesin herşey olabildiği dünyada sadece öğretmen olmak atanmak istiyoruz,Negative
durmak yok yola devam karayollari seçimden önce ilana çikmali teknik personel mağdur edilmemeli,Negative
valla sırtınızı nereye saydığımız belli,Negative
sayın cumhurbaşkanımız bizler yildir kurum dışı imd alimi yapilmasini bekleyen sesimize kulak verin bizlerde atanmak istiyoruz artık lutfen,Negative
bakin boyle oyunlar yuzunden oy kaybediyorsunuz hersey pahalasdikca insanlar sizden biliyor pahalasmayi,Negative
dün selahattin demirtaşın dışarı çıkması en büyük arzum bugün şehitlere başsağlığı insanlar aptal değil üzgünüm,Negative
tek adam,Positive
enerjimizi boşa harcayan bu iktidarı göndereceğiz başka yolu yok,Negative
eyt bilmeyen bilmiyor gibi yapanlar cevabımızı net alacaklar,Neutral
insan hakları komiseri mi bizde insan hakları yok neye gelmiş ki,Negative
sağır dilsiz kör olmayın bizde şoförler olarak bu ülkenin evlatlarıyız kadro bizimde hakkımız çilgina söyleyin,Negative
vatan sağ olsun dualarımız tüm şehitlerimizle,Positive
o bir amk,Negative
lütfen osman gökçekin bu sorusuna cevap verir misiniz,Neutral
harran üniversitesi rektörü kanunları tanımıyor geldiği günden beri insanlara zulüm yapı hakkını gasp buna bir el atmanız kendisinde razı değil,Negative
demekki neymiş sizin atanizida düşmanlığınız varmış koltukları türkiye düşmanlarına verdiğiniz ortaya çıkıyor,Negative
alkol yasağı var mı yok sevgili islamcılar,Negative
bayramınız mübarek olsun inşallah teala,Positive
siren seslerini de yayınlasanız daha etkili bir öğrenme çözümü olur,Neutral
aylardir yaziyorum inşallah hayal kirikliğina uğramayiz,Positive
evet o kesime sizlerde dahilsiniz geri kalan durumu belli bu iktidar yıldır sizin yüzünüzden iktidar oluyor,Negative
hüzünlü bir ülke ne kadar sahici ve incitici bir tarif,Negative
insaallah sizin badiniza da gelir mail twitterda reisin danışmanları engelliyor burada da siz engellediniz neden buda sorun türkiyenin en büyük sorunu şu anda bu,Negative
c zulmüne kim dur diyecek hani verilen sözlerc kadroooo,Negative
sen gönlümüzün liderisin bunu hiç bir sonuç değiştiremez seni isteselerde silemezler havaalanlarından tut yollara barajlara kadar hepsi senin döneminde yapıldı sen adını zaten tarihe yazdırdın onlara sadece ismini değiştirmek kalırbaşka bir şey yapamazlardurmak yok devam,Positive
de denetimli serbestlik istiyoruz hapishane kapıları bitsin,Negative
adamsın reyis allah esirgesin,Positive
valla biz senden rica ediyoruz mitinglerinde kullandigin kelimelere biraz dikkat et zira en nefret kelimeleri hep senden cikiyor,Negative
sınıf mevcutları fırsat ve imkan eşitliği gereği ülke genelinde olarak seyreltilmelidir eğitimden ve sağlıktan tasarruf olmaz ek derslik ve öğretmen ihtiyacı çıkmasın çocuklarımızın sağlığını tehlikeye atmayın lütfen,Negative
biz işimizi çok seviyoruz ve inatla kendi işimize hayatımızı idame etmek istiyoruz çok mu bunu istemek stihdami,Negative
esnaf aylardır kapalı işyerlerinin borçları ile mücadele ediyor sesimizi duyun lütfen sayın cumhurbaşkanımıör olarak internetcafelerin hes kodu kullanarak müşteri alabilmesi için bir çalışma bekliyoruz,Negative
cacıkmı dedin,Negative
sayın bakanim çalişmalarinizi takdirle karşiliyor ve alkiş bulunmak reyhanlida illagal yollarla para karşiliğinda ülkemize insan tacirleri mülteci ştirmanizi rica ederim,Positive
erken sevindiniz hayırdır,Negative
çiğ süte zam vermiyorlar binlerce üretici zarar ettiği için işletmesindeki saglır hayvanını kestiriyor ülke genelinde kesimler artarken üretici küçülür ken hizmet verecek üreticiyi zor bulacak sınız,Negative
bu gurubu durdurun artık küçük esnaf kalmadı,Negative
sayın başbakanım torba kanunda in olmasi kamuda adalet ve güveni sağlayacaktırım,Neutral
sesimizi duyun yil cezaindirimi istiyoruz adalet,Neutral
partideki taciz ve tecavüzleri kastediyor zannediyorsanız yanılıyorsunuz,Negative
bakan albayrak ve eşi esra albayrakın yeni doğmuş evlatları üzerinden sosyal medyada yapılan ahlaksızlığı kınıyoruz bunu yapanların allah belasını versinnnnn inşaallah,Negative
tabi tabi seçim öncesi verdiğiniz temel eğitimsiz bedelli askerlik sözünü çok güzel tuttunuz artık oy felan yok size,Negative
sen git artık chp mizden,Negative
bunu yapacağınıza fizyoterapist ataması yapın kpss nin en başarılı grubu fizyoterapistler atama bekliyor ama malesef bize verilen kadro sadece,Negative
yenikapıdan eyt için iyi haber bekliyoruz,Positive
zulmünün gölgesinde bir hayat nasıl yaşanır geleceğe güvenle bakamıyoruz artık,Negative
sayın bin öğretmen sınava girdi bin açık var bin atama yapıyorsunuz az vicdanla sizce bu yeterli mi lütfen cevap ver,Negative
mahkum yakinları aydir ceza indirimini bekliyorlar artık verin milet bi nefes alsinlar bi hata yapmişlar çocukları pirişan,Negative
hakkımızı yediniz bizde sağlıkçıyız,Neutral
türk milliyetçisi misiniz arap sempatizanı mı belli değil arap sempatizanı daha çok uyuyor arapların türk milletini arkadan vurduğu gibi sizde halkınıza verdiğiniz sözleri tutmayarak yine türk milletini arkadan vurdunuz,Negative
bakanlık ve elçilik lütfen müdahele mukavelesi bilişimle cevap verilsin,Neutral
kahrolsun akp mhp faşizmi,Negative
bizleri duyun artik,Negative
nisanda dis proteze adaletli kadro dagilimi istiyoruz cook magduruz yillardir,Negative
sayin bakanım kurumlardaki kağıt kullanımını düşürürsek sorun çözülür zaten en son teknolji sistemlerini kullandığımız halde kağıt kullanımı çok üst seviyede,Negative
bir gun bu goruntulerin bedelini odeyeceksiniz arap kirma bedevileri yildir ihanet icindesiniz ama dun ulu cinarin uyanmasiyla basladi kurtulus,Negative
af gerek bizee,Neutral
sizinde kutlu olsun bari,Positive
adam şuhedamızı bir kere daha selamlıyor ve diyor ki biz hazırız gelen de mezarını hazırlasın,Negative
kisa bir film kpss sınavında şüphe oluşur adayların aylarca hazırlandığı kpss iptal edilir ve tekrarlanır sınavın üstünden ay geçer ve nihayet sessizliğini koruyan takvim gelir sene deprem sel kuraklık aşırı sıcaklar kpss mülakat,Negative
halk olarak bize ait olan temmuz programında sizi ve ekibinizi görmek istemiyoruz lütfen katılmayın,Negative
sayın bahçeli kadın cinayet mahkümleri af hariçi diyor erkekleri dost tutup kocasını çoçuğunu öldüren katil kadınlar kader mahkumu sayılıp affamı uğrayacak,Negative
mühteşam,Positive
başkan aday falan olup sene daha bize sefillik yaşatma mansur yavaş i istiyor bu millet hiç değilse anketler yaptir lütfen,Negative
el işaretine bunlarda başlamış,Neutral
üniversite de okuyan oğlum yaşını geçti diye gss primi yatırmasını istiyorsunuz çocuk okurken bu primi nasıl ödeyecek çocuk ödeyemez ama ailesi asgari ücretle çalışınca baba anne ödemek zorunda akp hep zengine çalışıyor,Negative
koltuk hırsınız yüzünden seçimi akpye hediye ettiniz bu ülkeyi seviyormuş kadın hakları umurunuzdaymış gibi konuşmayın,Negative
o yiyip içip savurduklarınız miri malı deyildir size miras ta kalmadı siz hakka inanmıyormusunuz,Negative
mekanlarınız cennet olsun ailelerine sabırlar vatan sağolsun,Positive
kendi memleketimde antik yerleri gezebilmek için araç park parası liragişeden geçebilmem için lira talep edildi siz paranın nasıl kazanıldığını biliyormusunuz yoksa tarih dediğiniz sadece döviz kullanan yabancılar için mi,Negative
insanların yıl okuduğu okulu yok sayıp böyle saçma bir uygulama çıkardınız antrenör olarak mezun oldum ama programınıza katılmıyorum bu saçma uygulamadan dönmenizi bekliyorum,Negative
her yaptığınız hamle sevenlerinizi sizden uzaklaştırıp başka yönlere kaymaya sebeb olmakta bununla birlikte yaptığınız her aciklama inandırıcılığı ni kaybetmekte kendi kendinizi hizla yok etme planiniz hangi motivasyon,Negative
sussam gönül razı değil yazsam silivri cezaevi,Negative
kpss ve mülakatı puanı ile yıldır şehirde özveri ile görevini ifa eden yaklaşık bin piktes öğretmeni gerek yüz yüze eğitimde gerek de de başarılarını daim ettirmiştirin bizleri görmesi fazlası ile bizi mutlu etmiştir,Positive
ptt çalışanlarına neden kadro yok,Negative
vatan size minnettardır mekanın cennet olsun,Positive
sistem cokmus durumda hastanelerin yogunluk durumlarini takip ediyor musunuz randevuya gerek yokmus yani onu anladik,Negative
li atatürkçüler başınızdaki liderin ne kadar vatan sevdalısı olduğunu görün darbeci hainleri affedecekmiş,Negative
kukla başkan istemiyor bu halk,Negative
emeğin merhametin ve azmin yollarını elleriyle işleyenlerin günü bugün dünyanın bütün öğretmenlerine bütün emekçilerine ve hayatı üreten o sonsuz çabaya ve sabıra selam olsun emeğinizle güzelleştirdiğiniz her şey için teşekkürler,Positive
he he yedik,Negative
muhalefet partiler cumhurbaşkanı kim olursa olsun yeter artık ya yeter siz bizimle dalga mı geçiyorsunuz,Negative
size de is cikti takildiniz adalete yuklenin millete,Negative
biriniz duyun allah aşkina biz kendi kendimize gelin güvey olmadık ortada binlerce insanı etkileyen bir söz verildi devlet sözü acık açık kpss puanı ile ek atama olacak dedi şimdi yeni bakan olmayacak diyor birisi acil bir şeyler yapmalı,Negative
güçlü siyasi irade türkiyenin bekası için birliği için beraberliği için olmazsa olmazıdır,Positive
size emanet edilen er erbaş ve öğrencilerin başına gelenleri geçen sene gördük hala mağdurlar var siz sorumluları buldunuz mu,Negative
pkk fetö her türlü terör örgütüye aynı görüşe sahip olan her fırsatta onlara arka çıkanlardan her şey beklenirbüyüksün liderim,Negative
uyku uyuyamıyorum ben ülkem için ne yapabilirim derdindeyim yapmaya çalışıyorum da ama birileri arkadan vuruyorsa menfaatleri uğruna ümmeti değil ilini değil kendini düşünüyorsa vah ki ne vah birde memur siyaset yapmaz deniliyor o zaman oy da kullanmasın nokta,Negative
dedelerimizdenmiras kalmıştır doğ çıkar için satı bizden değildir sizin yalakaniz değiliz,Negative
türkiye sevdamız inşallah hep böyle nice lere,Positive
olmasa davar cobani olamazdin diyor dayi,Negative
gözü yaşlı annelerimiz ve öğretmenlerimiz bayram öncesi ek atama müjdesini hak ediyor,Positive
kafalılar hadi lan samimi misiniz asla değilsiniz,Negative
doğalgaz bulduk doğalgaz mall,Positive
beter olun inşallah kaybedersiniz,Negative
ün ine oturmaya gelirsin ancak morukkk sümerli,Negative
eyt yoksa bizde yokuz,Negative
ögretmenine sahip çık,Neutral
bırak allah aşkına aklımızla alay etme bu mu muhalefet,Negative
tl emekli maaşı konuşulması bile utanç verici yazık ki ne yazık,Negative
günlük program neden tamamlanamadı neden süreli nafaka sözü yerine gelmedi,Negative
istifada bir hizmettir,Neutral
dağdan teröristler indirilip annelerine ailelerine teslim ediliyor fetöcü hakim ve savcıların orantısız cezaları ile hapiste onbinlerce insan var milyon dosya var fetöcü müfettişler esnafı perişan etti bunları ne zaman göreceksiniz oylar dan e düştü ye düşünce mi,Negative
ne güzel siyaset kimi parti pkk ile kimi mafyayla kimi ihvanla işitle hala bu memleketten medet uman saf var demekki bunlara oy veriyo,Negative
reis o altin ucaga binen altin tuvalete sican o musluman bu insanlari gormuyormu reis kendi komsulari ne bicim muslunan bu adam,Negative
suç örgütünü temsilen kimler katılacak acaba malum sizin ortak aklınızın ortakları belli,Negative
hala vitamin eksikligin devam ediyor kemal,Negative
uçakların yakıtları bitmesin kardeş rusya yardim yolluyor size gerek yok,Negative
haklısın adalet hukuk işlemiyor türkiye de hukuk işlenseydi içimizdeki pkk yandaşları fetö destekçileri işgalcilere kapıyı açanlar içerdeydi,Negative
tüm annelerin anneler günü kutlu oolsun,Positive
reis uykum gelmiyo acaba bunun arkasinda da amerika olma ihtimali nedir sence bende öyle dusunmustum,Negative
bu duruma neden bir ses çıkarmıyor sunuz adalet herkeze eşit uzaklıkta olmalıdır kimse hukukun üstünde değildir,Negative
terörle mücadele terörün bir partisi var ve siz onlar ile ortaksınız hem siyasi olarak hem de gönül bağı olarak istanbul il başkanınız dhkpc liderine övgüler düzer dhkpc militanları ellerinde kalaşnikoflar ile kahve basıp imamoğluna oy ister önce siz başlasanız mücadeleye,Negative
yan gelip yatma yeri değildir neden gereği yapılmıyor,Negative
biz terörismiyiz baskanim samet aydogan bize terörist muamelesi yapiyor nasil döviz girsin memlekete eklnomi nasil düzelsin samsun çarşamba,Negative
olağanüstühal afistiyoruz,Neutral
türk bayrağımız nerededir neden konmamıştır bilgi rica ediyoruz,Negative
kazandığı masa yok,Negative
sayın cumhurbaşkanım maasimizdan icra kesintilerine devam ediliyor cumhurbaşkanlığı sayılı kararnamesinin gecerliligi yokmu,Negative
çalınan oy yok demiş ama iptal var,Negative
müzik kulakları tırmalıyorgörüntüler çok iyidüzeltme şansı varsa iyi olur,Positive
ek gösterge lisans mezunu tüm memurlara verilmelidir sayın cumhurbaşkanım,Neutral
şükürler olsun minnetarım,Positive
mezunlarıı gördükleri eğitimle tapu ve milli emlakın ayrılmaz parçasıdırlar atama bekliyoruz,Neutral
engelli öğretmen sizden yardim elinizi uzatmanizi bekliyor,Positive
ağzından çıkanı kulağı duymayan kendi söylediklerini kendisi yalanlayan aday olduğu bir seçimde oy kullanmayı bile beceremeyen yalan söylerken yüzü biraz olsun kızarmayan açık açık namussuz siyasetçiye oy verin çünkü biz namussuz siyaset yapacağız diyen birine ne denir,Negative
twitter yavaslatmak nedir ya insanlar nerede as evi var nerede yardim tirlari var buradan paylasiyor sadece reisinizin hosuna gitmeyen tweetler atiliyor diye engellemek nedir suursuz musunuz,Negative
bülbül ile takılırsan gül bahçesine karga ile takılırsan çöplüğe gidersin seçimlerden önce siyaset çöplüğünde yeriniz hazır demiştim çöp oldunuz pkk ile iş tutanların bastonu olduğunuz sürece kirim tatarlari sizin umurunzda bile değil onlar bile biliyor satacağinizi,Negative
bedelli askerliğe evet,Positive
maşallah sübhanallah başkanımıza,Positive
bu terbiyesizliğe dur demeyecek misiniz,Negative
et pahalı ithal edelim soğan pahalı ithal edelim mısır edelim buğday arpa edelim üreticiyi bitirelim arkadaş delirmek üzereyim ya bu ülkede vallahi de billahi de tallahi de delirmek üzereyim,Negative
artik bizi aldatmanin yeni yolu mu zorr,Negative
yaşanan bu büyük felaketin ardından hak var helallik var gün prim hakkı var artık hak zamanı,Negative
etilerde kira oder gibi sultanbeylinde ev sahibi olmak,Positive
bunlar ne kadar bayat numaralar vatandaş kararını çok erken verdi tayyip erdoğan kazanacak,Negative
rabia işareti yapmanın bir vebali olmalı işaretle kalmamalı,Negative
katıldığı radyo programında taşeron konusu bitti biz o konuyu kapattık dedi soruyorum size biz neyiz yıldır aynı kurumda çalıyor mesaisinin tümünü kurumda geçiriyoruz biz neyiz taşeron değilsek neyiz,Negative
allah güç kuvvet versin ve onları korusun inşallah,Positive
sağlıkta reform yaptık diye bağıracağınıza kadınların sağlıkları için temel aşı olan hpv aşısını ücretsiz hale getirin samimiyetinize inanalım bu sadece reklam kokan bi hareket bu konuda hiç bir çalışmanız yok burda twwwt atıyorsunuz,Negative
bunu kim bakan yaptı yav,Negative
ben niye takip ediyor sam kendinle kal yok yok ekrem ve meral le kal özgür,Negative
kabul etmesede bizler nın taşra teşkilatıyız sydgmnin verdiği görevleri yerine getiren kamu kurumuyuz kadromuzusendikal haklarimizitayin hakkimizi taşeron yasasıyla almak istiyoruz nda,Neutral
lütfen sesimizi zor günlerde bir bütün olalım hep beraber,Positive
babalar günün kutlu olsun nice sağlık mutluluk dolu yaşlar dilerim başkanım sayğılarımla,Positive
sayin kılıçdaroğlu bazan inanir gibi oluyorum sizeolmuyorbeynimde derin sorular varparti yönetiniz ve sizin hakkinizdaçağirin geleyimanlatayimveya arayinbir vatandaşsürmenedenselamlar,Positive
rapbim sizden razı olsun uzun ömürler versin başkanım,Positive
allah hiç kimseyi ülkesinin parasının değerlenmesini eleştirecek kadar zelil duruma düşürmesin,Negative
şehitlerimize allah rahmet eylesin inşallah,Positive
çıkıp meydanlar da ey çin diye neden bağırmıyorsun,Negative
aralıkta gün çalışan joker kadro aldıysa yılında çalışan jokerlerde gün ay şartı olmadan kadroya alınmalıdır aydır işsiziz verilen sözler tutulsun,Negative
türkiye de nerdeyse nüfuzumuz kadar dernek var bir çoğu kumarhane ajanlık birligimize kasıt var kapatılmalı,Negative
bunları sayıylamı buluyorsunuz bu kadar skandal için tebrikler,Negative
kemal dur kemal ucu atatürk e gider bu işlerin sığınacak limanın da kalmaz,Negative
bakanım güç mü kaldı her ay başka bir hastalık çıkıyor bu kadar ilacı kaldramaz hale geldi bedenim evlat hasretiyle beni idam ettiniz adalet hak hukuk bu olmamalı,Negative
bay kemal efendi milyon kürdün iradesi için demokrasiye aykırı ama evet dedin mi demedin mi yetmedi kendi partinin de içini oyuyor sana rakip olacakları afaroz ediyorsun senden ahır çobanı bile olmaz,Negative
mermi kovanları hdp nin ikramı mı sorsaydınız merminin çekirdeği hangi masuma sıkılmış diye,Negative
almanların hep yaptığı şey allah ailenin yar ve yardımcısı olsun,Positive
